Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10822540,2020-10-02 17:54:07,2020-01-03 10:33:11,26496813,7104360544,26496813,268,3440,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10822/SRR10822540/SRR10822540.lite.1,SRX7495929,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP239389,PRJNA598835,3,598835,SRS5937529,SAMN13717884,simple,9606,Homo sapiens,GSM4247473,,,,,,,no,,,,,GEO,SRA1019683,,public,91B8235A1CCCC9723D39DF66D0AA6B57,3F1021737792D8E725176E58E3D7086A
SRR10822541,2020-10-02 17:54:07,2020-01-03 10:37:00,27357037,7387487357,27357037,270,3483,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR010/822/SRR10822541/SRR10822541.lite.1,SRX7495930,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP239389,PRJNA598835,3,598835,SRS5937530,SAMN13717912,simple,9606,Homo sapiens,GSM4247474,,,,,,,no,,,,,GEO,SRA1019683,,public,9D6BD4D47D211289C83E44613240A09A,B1C7045CC4E3669644B38AC1F68F4CB3
SRR10822542,2020-10-02 17:54:07,2020-01-03 10:27:48,14559521,3874438067,14559521,266,1829,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10822/SRR10822542/SRR10822542.lite.1,SRX7495931,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP239389,PRJNA598835,3,598835,SRS5937531,SAMN13717911,simple,9606,Homo sapiens,GSM4247475,,,,,,,no,,,,,GEO,SRA1019683,,public,DF7441DB58FBCA319C47AFC095892702,41088899BE42C2BFBC83419882160947
SRR10822543,2020-10-02 17:54:07,2020-01-03 10:40:00,35968108,9765987534,35968108,271,3807,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10822/SRR10822543/SRR10822543.lite.1,SRX7495932,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP239389,PRJNA598835,3,598835,SRS5937532,SAMN13717909,simple,9606,Homo sapiens,GSM4247476,,,,,,,no,,,,,GEO,SRA1019683,,public,63F0EDEF5E7B0BA6624AF943CFBC6921,9EF28AB9458431FD60D988FC0266F860
SRR10822544,2020-10-02 17:54:07,2020-01-03 10:33:08,26850669,7130099262,26850669,265,3505,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10822/SRR10822544/SRR10822544.lite.1,SRX7495933,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP239389,PRJNA598835,3,598835,SRS5937533,SAMN13717908,simple,9606,Homo sapiens,GSM4247477,,,,,,,no,,,,,GEO,SRA1019683,,public,2E6B87331A412F9D7DE6F2A7ABD20D52,348FDBF9B6B41FCC535F5FD665E3F8DE
SRR10822545,2020-10-02 17:54:07,2020-01-03 10:34:51,34421672,8860095306,34421672,257,4051,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10822/SRR10822545/SRR10822545.lite.1,SRX7495934,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP239389,PRJNA598835,3,598835,SRS5937534,SAMN13717907,simple,9606,Homo sapiens,GSM4247478,,,,,,,no,,,,,GEO,SRA1019683,,public,5A85EAE8524DCE634A7789AFD9C8DDA1,7E209A3405549A2E09D64EEDA3B58F39
SRR10822546,2020-10-02 17:54:07,2020-01-03 10:37:48,31511670,8710370945,31511670,276,3603,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR010/10822/SRR10822546/SRR10822546.lite.1,SRX7495935,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP239389,PRJNA598835,3,598835,SRS5937535,SAMN13717906,simple,9606,Homo sapiens,GSM4247479,,,,,,,no,,,,,GEO,SRA1019683,,public,C3382218A2714B9B272BBCBB35229C89,508B5BD7DAF028EFFB068D971963C86D
SRR10822547,2020-10-02 17:54:07,2020-01-03 10:32:52,27775415,7464749049,27775415,268,3087,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10822/SRR10822547/SRR10822547.lite.1,SRX7495936,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP239389,PRJNA598835,3,598835,SRS5937536,SAMN13717905,simple,9606,Homo sapiens,GSM4247480,,,,,,,no,,,,,GEO,SRA1019683,,public,58DC3736F206B0275DE2C80B322FDDD2,32906887B63538E15DD09C6AE9DA2CF7
SRR10822548,2020-10-02 17:54:07,2020-01-03 10:33:29,24956058,7046906821,24956058,282,2735,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10822/SRR10822548/SRR10822548.lite.1,SRX7495937,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP239389,PRJNA598835,3,598835,SRS5937537,SAMN13717903,simple,9606,Homo sapiens,GSM4247481,,,,,,,no,,,,,GEO,SRA1019683,,public,3BCAC6B5D0799EFFF1E51A4F1024F763,E15E8D58272D4A0F2B78ACF15212E5E4
SRR10822549,2020-10-02 17:54:07,2020-01-03 10:37:00,31571004,8743527121,31571004,276,3655,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR010/10822/SRR10822549/SRR10822549.lite.1,SRX7495938,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP239389,PRJNA598835,3,598835,SRS5937538,SAMN13717902,simple,9606,Homo sapiens,GSM4247482,,,,,,,no,,,,,GEO,SRA1019683,,public,F948AC9AA64D002576F9462F14B5A15E,E4849C4B2DAD8280994B6CAC86DBC0C4
